Id,FacilityName,Street,EmailAddress,TelephoneNumber,ContactNumber,BarangayId,city_municipality_id,province_id,AccreditationNo,Sector,Zipcode,CipherKey,Status,TypeofFacility
25,T'BOLI - LEMSNOLON - BHS,NULL,NULL,NULL,NULL,34871,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
26,T'BOLI - EDWARDS (POB.) - BHS,NULL,NULL,NULL,NULL,34852,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
27,T'BOLI - KEMATU - BHS,NULL,NULL,NULL,NULL,34853,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
28,T'BOLI - LACONON - BHS,NULL,NULL,NULL,NULL,34854,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
29,T'BOLI - LAMBANGAN - BHS,NULL,NULL,NULL,NULL,34858,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
30,T'BOLI - LAMBULING - BHS,NULL,NULL,NULL,NULL,34861,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
31,T'BOLI - LAMHAKO - BHS,NULL,NULL,NULL,NULL,34862,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
32,T'BOLI - LAMSALOME - BHS,NULL,NULL,NULL,NULL,34855,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
34,T'BOLI - MAAN - BHS,NULL,NULL,NULL,NULL,34859,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
35,T'BOLI - MALUGONG - BHS,NULL,NULL,NULL,NULL,34872,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
36,T'BOLI - MONGOCAYO - BHS,NULL,NULL,NULL,NULL,34873,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
37,T'BOLI - NEW DUMANGAS - BHS,NULL,NULL,NULL,NULL,34856,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
38,T'BOLI - POBLACION - BHS,NULL,NULL,NULL,NULL,34863,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
39,T'BOLI - SALACAFE - BHS,NULL,NULL,NULL,NULL,34874,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
40,T'BOLI - SINOLON - BHS,NULL,NULL,NULL,NULL,34857,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
41,T'BOLI - TALCON - BHS,NULL,NULL,NULL,NULL,34864,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
42,T'BOLI - T'BOLOK - BHS,NULL,NULL,NULL,NULL,34875,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
43,T'BOLI - TUDOK - BHS,NULL,NULL,NULL,NULL,34866,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
44,KORONADAL CITY HEALTH OFFICE,NULL,NULL,NULL,NULL,34759,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
45,KORONADAL - ASSUMPTION (BULOL) - BHS,NULL,NULL,NULL,NULL,34743,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
46,KORONADAL - AVANCEÑA - BHS,NULL,NULL,NULL,NULL,34744,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
47,KORONADAL - CACUB - BHS,NULL,NULL,NULL,NULL,34745,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
48,KORONADAL - CALOOCAN - BHS,NULL,NULL,NULL,NULL,34746,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
50,KORONADAL - CONCEPCION - BHS,NULL,NULL,NULL,NULL,34748,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
51,KORONADAL - ESPERANZA - BHS,NULL,NULL,NULL,NULL,34749,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
52,KORONADAL - GPS - CINDERELLA - BHS,NULL,NULL,NULL,NULL,34750,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
53,KORONADAL - GPS -  NORTH - BHS,NULL,NULL,NULL,NULL,34750,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
54,KORONADAL - GPS -  SOUTH - BHS,NULL,NULL,NULL,NULL,34750,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
56,KORONADAL - MABINI - BHS,NULL,NULL,NULL,NULL,34751,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
57,KORONADAL - MAGSAYSAY - BHS,NULL,NULL,NULL,NULL,34752,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
58,KORONADAL - MAMBUCAL - BHS,NULL,NULL,NULL,NULL,34753,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
59,KORONADAL - MORALES - BHS,NULL,NULL,NULL,NULL,34754,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
60,KORONADAL - NAMNAMA - BHS,NULL,NULL,NULL,NULL,34755,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
61,KORONADAL - NEW PANGASINAN - BHS,NULL,NULL,NULL,NULL,34756,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
62,KORONADAL - PARAISO - BHS,NULL,NULL,NULL,NULL,34757,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
63,KORONADAL - ROTONDA - BHS,NULL,NULL,NULL,NULL,34762,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
64,KORONADAL - SAN ISIDRO - BHS,NULL,NULL,NULL,NULL,34763,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
65,KORONADAL - SAN ROQUE - BHS,NULL,NULL,NULL,NULL,34765,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
66,KORONADAL - SARAVIA A - BHS,NULL,NULL,NULL,NULL,34768,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
67,KORONADAL - SARAVIA B - BHS,NULL,NULL,NULL,NULL,34768,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
68,KORONADAL - SANTA CRUZ A - BHS,NULL,NULL,NULL,NULL,34766,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
69,KORONADAL - SANTA CRUZ B - BHS,NULL,NULL,NULL,NULL,34766,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
70,KORONADAL - SANTO NIÑO - BHS,NULL,NULL,NULL,NULL,34767,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
71,KORONADAL - ZONE I - BHS,NULL,NULL,NULL,NULL,34758,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
73,KORONADAL - ZONE III A - BHS,NULL,NULL,NULL,NULL,34760,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
74,KORONADAL - ZONE III B - BHS,NULL,NULL,NULL,NULL,34760,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
75,KORONADAL - ZONE IV A AND B  - BHS,NULL,NULL,NULL,NULL,34761,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
76,KORONADAL - SAN JOSE - BHS,NULL,NULL,NULL,NULL,34764,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
77,KORONADAL - ZONE IV C - BHS,NULL,NULL,NULL,NULL,34761,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
78,KORONADAL - TOPLAND A - BHS,NULL,NULL,NULL,NULL,34769,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
79,KORONADAL - TOPLAND B - BHS,NULL,NULL,NULL,NULL,34769,1320,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
80,BANGA - RHU ,PUROK KATIPUNAN,NULL,NULL,NULL,34711,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
81,LAKE SEBU - RHU,NULL,NULL,NULL,NULL,34914,1329,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
82,BANGA - BENITEZ - BHS,PUROK MABUHAY,NULL,NULL,NULL,34695,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
83,LAKE SEBU - KLUBI - BHS,NULL,NULL,NULL,NULL,34905,1329,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
84,BANGA - CABUDIAN - BHS,PUROK MAHIGUGMAON,NULL,NULL,NULL,34696,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
86,BANGA - CABULING - BHS,PUROK MALIPAYON,NULL,NULL,NULL,34697,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
87,BANGA - CINCO - BHS,PUROK FRANCISCO,NULL,NULL,NULL,34698,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
88,BANGA - DERILON - BHS,NULL,NULL,NULL,NULL,34699,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
89,BANGA - EL NONOK - BHS,PUROK REYES,NULL,NULL,NULL,34700,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
90,BANGA - IMPROGO VILLAGE - BHS,PUROK MALIPAYON,NULL,NULL,NULL,34701,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
91,BANGA - KUSAN - BHS,PUROK KAHIRUP,NULL,NULL,NULL,34702,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
92,BANGA - LAM-APOS - BHS,NULL,NULL,NULL,NULL,34703,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
93,BANGA - LAMBA - BHS,PUROK MABINI,NULL,NULL,NULL,34704,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
94,BANGA - LAMBINGI - BHS,NULL,NULL,NULL,NULL,34705,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
95,BANGA - LAMPARI - BHS,NULL,NULL,NULL,NULL,34706,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
96,BANGA - LIWANAY - BHS,PUROK MAHIDAITON,NULL,NULL,NULL,34707,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
97,BANGA - MALAYA - BHS,PUROK DAISY,NULL,NULL,NULL,34708,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
98,BANGA - PUNONG GRANDE - BHS,PUROK MAHINANGPANON,NULL,NULL,NULL,34709,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
99,BANGA - RANG-AY - BHS,PUROK QUIRINO,NULL,NULL,NULL,34710,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
101,BANGA - REYES - BHS,PUROK MALIGAYA,NULL,NULL,NULL,34711,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
102,BANGA - RIZAL BO.3 - BHS,PUROK PAG ASA,NULL,NULL,NULL,34712,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
103,BANGA - RIZAL POB. - BHS,NULL,NULL,NULL,NULL,34713,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
104,BANGA - SAN JOSE - BHS,NULL,NULL,NULL,NULL,34714,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
105,LAKE SEBU - DENLAG - BHS,NULL,NULL,NULL,NULL,34902,1329,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
106,BANGA - SAN VICENTE - BHS,PUROK TRES,NULL,NULL,NULL,34715,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
107,BANGA - YANGCO POB. - BHS,PUROK RIVERSIDE,NULL,NULL,NULL,34716,1318,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
108,SURALLAH - BUENAVISTA - BHS,PUROK MAGSAYSAY 2,NULL,NULL,NULL,34807,1323,64,1,GOVERNMENT,9512,NULL,1,LEVEL 0
109,SURALLAH - CANAHAY - BHS,PUROK ZENIA,NULL,NULL,NULL,34812,1323,64,2,GOVERNMENT,NULL,NULL,1,LEVEL 0
110,SURALLAH - COLONGULO - BHS,ADRA 1,NULL,NULL,NULL,34809,1323,64,3,GOVERNMENT,NULL,NULL,1,LEVEL 0
111,SURALLAH - LAMIAN - BHS,PUROK MAINUSWAGON,NULL,NULL,NULL,34814,1323,64,4,GOVERNMENT,NULL,NULL,1,LEVEL 0
112,SURALLAH - LAMSUGOD - BHS,PUROK QUEZON,NULL,NULL,NULL,34815,1323,64,5,GOVERNMENT,NULL,s,1,LEVEL 0
113,SURALLAH - CENTRALA - BHS,PUROK 2,NULL,NULL,NULL,34808,1323,64,6,GOVERNMENT,NULL,NULL,1,LEVEL 0
114,SURALLAH - DAJAY - BHS,PUROK PAG - ASA,NULL,NULL,NULL,34810,1323,64,20064,GOVERNMENT,NULL,NULL,1,LEVEL 0
115,SURALLAH - DUENGAS - BHS,PUROK 1,NULL,NULL,NULL,34811,1323,64,20065,GOVERNMENT,NULL,NULL,1,LEVEL 0
116,SURALLAH - LAMBONTONG - BHS,PUROK MAUSWAGON,NULL,NULL,NULL,34813,1323,64,20066,GOVERNMENT,NULL,NULL,1,LEVEL 0
117,SURALLAH - LIBERTAD (POB.) - BHS,NULL,NULL,NULL,NULL,34816,1323,64,27702,GOVERNMENT,NULL,NULL,1,LEVEL 0
118,SURALLAH - LITTLE BAGUIO - BHS,NULL,NULL,NULL,NULL,34817,1323,64,20072,GOVERNMENT,NULL,NULL,1,LEVEL 0
119,SURALLAH - MOLOY - BHS,NULL,NULL,NULL,NULL,34818,1323,64,20073,GOVERNMENT,NULL,NULL,1,LEVEL 0
120,SURALLAH - NACI - BHS,NULL,NULL,NULL,NULL,34819,1323,64,20074,GOVERNMENT,NULL,NULL,1,LEVEL 0
121,SURALLAH - TALAHIK - BHS,NULL,NULL,NULL,NULL,34820,1323,64,20075,GOVERNMENT,NULL,NULL,1,LEVEL 0
122,SURALLAH - TUBIALA - BHS,NULL,NULL,NULL,NULL,34821,1323,64,20076,GOVERNMENT,NULL,NULL,1,LEVEL 0
123,SURALLAH - VETERANS - BHS,NULL,NULL,NULL,NULL,34823,1323,64,20078,GOVERNMENT,NULL,NULL,1,LEVEL 0
124,SURALLAH - Zone 1  - BHS,NULL,NULL,NULL,NULL,34816,1323,64,43711,GOVERNMENT,NULL,NULL,1,LEVEL 0
125,SURALLAH - Zone 2A  - BHS,NULL,NULL,NULL,NULL,34816,1323,64,43710,GOVERNMENT,NULL,NULL,1,LEVEL 0
126,SURALLAH - Zone 3  - BHS,NULL,NULL,NULL,NULL,34816,1323,64,43708,GOVERNMENT,NULL,NULL,1,LEVEL 0
127,SURALLAH - Zone 4A  - BHS,NULL,NULL,NULL,NULL,34816,1323,64,43707,GOVERNMENT,NULL,NULL,1,LEVEL 0
128,SURALLAH - Zone 4B  - BHS,NULL,NULL,NULL,NULL,34816,1323,64,43706,GOVERNMENT,NULL,NULL,1,LEVEL 0
129,SURALLAH - ZONE 5  - BHS,NULL,NULL,NULL,NULL,34816,1323,64,27703,GOVERNMENT,NULL,NULL,1,LEVEL 0
130,SURALLAH - Zone 6 - BHS,NULL,NULL,NULL,NULL,34816,1323,64,43681,GOVERNMENT,NULL,NULL,1,LEVEL 0
131,LAKE SEBU - HALILAN - BHS,NULL,NULL,NULL,NULL,34903,1329,64,19803,GOVERNMENT,NULL,NULL,1,LEVEL 0
132,LAKE SEBU - HANOON - BHS,NULL,NULL,NULL,NULL,34904,1329,64,19806,GOVERNMENT,NULL,NULL,1,LEVEL 0
133,LAKE SEBU - LAKE LAHIT - BHS,NULL,NULL,NULL,NULL,34906,1329,64,19815,GOVERNMENT,NULL,NULL,1,LEVEL 0
134,LAKE SEBU - LAMCADE - BHS,NULL,NULL,NULL,NULL,34907,1329,64,19819,GOVERNMENT,NULL,NULL,1,LEVEL 0
135,LAKE SEBU - LAMDALAG - BHS,NULL,NULL,NULL,NULL,34908,1329,64,19821,GOVERNMENT,NULL,NULL,1,LEVEL 0
136,LAKE SEBU - LAMFUGON - BHS,NULL,NULL,NULL,NULL,34909,1329,64,19823,GOVERNMENT,NULL,NULL,1,LEVEL 0
137,LAKE SEBU - LAMLAHAK - BHS,NULL,NULL,NULL,NULL,34910,1329,64,19826,GOVERNMENT,NULL,NULL,1,LEVEL 0
138,LAKE SEBU - SILUTON - BHS,NULL,NULL,NULL,NULL,34915,1329,64,19829,GOVERNMENT,NULL,NULL,1,LEVEL 0
139,LAKE SEBU - LOWER MACULAN - BHS,NULL,NULL,NULL,NULL,34911,1329,64,19832,GOVERNMENT,NULL,NULL,1,LEVEL 0
140,LAKE SEBU - LUHIB - BHS,NULL,NULL,NULL,NULL,34912,1329,64,19834,GOVERNMENT,NULL,NULL,1,LEVEL 0
141,LAKE SEBU - NED - BHS,NULL,NULL,NULL,NULL,34913,1329,64,19836,GOVERNMENT,NULL,NULL,1,LEVEL 0
142,LAKE SEBU - POBLACION - BHS,NULL,NULL,NULL,NULL,34914,1329,64,19839,GOVERNMENT,NULL,NULL,1,LEVEL 0
143,LAKE SEBU - TALISAY - BHS,NULL,NULL,NULL,NULL,34916,1329,64,19841,GOVERNMENT,NULL,NULL,1,LEVEL 0
144,TANTANGAN  - RHU,NULL,NULL,NULL,NULL,34847,1325,64,7,GOVERNMENT,NULL,NULL,1,LEVEL 0
145,TANTANGAN - BUKAY PAIT - BHS,NULL,NULL,NULL,NULL,34838,1325,64,8,NULL,NULL,NULL,1,NULL
146,TANTANGAN - CABULING - BHS,NULL,NULL,NULL,NULL,34839,1325,64,9,GOVERNMENT,NULL,NULL,1,LEVEL 0
147,TANTANGAN - DUMADALIG - BHS,NULL,NULL,NULL,NULL,34840,1325,64,10,GOVERNMENT,NULL,NULL,1,NULL
148,LAKE SEBU - TAKUNEL - BHS,NULL,NULL,NULL,NULL,34917,1329,64,19844,GOVERNMENT,NULL,NULL,1,LEVEL 0
149,TANTANGAN - LIBAS - BHS,NULL,NULL,NULL,NULL,34841,1325,64,11,GOVERNMENT,NULL,NULL,1,LEVEL 0
150,LAKE SEBU - TASIMAN - BHS,NULL,NULL,NULL,NULL,34919,1329,64,19847,GOVERNMENT,NULL,NULL,1,LEVEL 0
151,TANTANGAN - MAGON - BHS,NULL,NULL,NULL,NULL,34842,1325,64,12,GOVERNMENT,NULL,NULL,1,LEVEL 0
152,LAKE SEBU - UPPER MACULAN - BHS,NULL,NULL,NULL,NULL,34918,1329,64,19849,GOVERNMENT,NULL,NULL,1,LEVEL 0
153,TANTANGAN - MAIBO - BHS,NULL,NULL,NULL,NULL,34843,1325,64,13,GOVERNMENT,NULL,NULL,1,LEVEL 0
154,LAKE SEBU - PROPER NED - BHS,NULL,NULL,NULL,NULL,34913,1329,64,43680,GOVERNMENT,NULL,NULL,1,LEVEL 0
155,TANTANGAN - MANGILALA - BHS,NULL,NULL,NULL,NULL,34844,1325,64,14,GOVERNMENT,NULL,NULL,1,LEVEL 0
156,TANTANGAN - NEW ILOILO - BHS,NULL,NULL,NULL,NULL,34845,1325,64,15,GOVERNMENT,NULL,NULL,1,LEVEL 0
157,LAKE SEBU - TINUGAS NED - BHS,NULL,NULL,NULL,NULL,34913,1329,64,43688,GOVERNMENT,NULL,NULL,1,LEVEL 0
158,TANTANGAN - NEW LAMBUNAO - BHS,NULL,NULL,NULL,NULL,34846,1325,64,16,GOVERNMENT,NULL,NULL,1,LEVEL 0
159,TANTANGAN - POBLACION - BHS,NULL,NULL,NULL,NULL,34847,1325,64,17,GOVERNMENT,NULL,NULL,1,LEVEL 0
160,TANTANGAN - SAN FELIPE - BHS,NULL,NULL,NULL,NULL,34848,1325,64,18,GOVERNMENT,NULL,NULL,1,LEVEL 0
161,TANTANGAN - NEW CUYAPO - BHS,NULL,NULL,NULL,NULL,34849,1325,64,19,GOVERNMENT,NULL,NULL,1,LEVEL 0
162,SURALLAH - RHU,NULL,NULL,NULL,NULL,34816,1323,64,12341,GOVERNMENT,NULL,NULL,1,LEVEL 0
163,TANTANGAN - TINONGCOP - BHS,NULL,NULL,NULL,NULL,34850,1325,64,20,GOVERNMENT,NULL,NULL,1,LEVEL 0
164,TUPI - RHU,NULL,NULL,NULL,NULL,34887,1327,64,12412,GOVERNMENT,NULL,NULL,1,LEVEL 0
165,SURALLAH - UPPER SEPAKA - BHS,NULL,NULL,NULL,NULL,34822,1323,64,46,NULL,NULL,NULL,1,NULL
166,STO. NIÑO - RHU,NULL,NULL,NULL,NULL,34896,1328,64,21,GOVERNMENT,NULL,NULL,1,LEVEL 0
167,STO. NIÑO - AMBALGAN - BHS,NULL,NULL,NULL,NULL,34891,1328,64,22,GOVERNMENT,NULL,NULL,1,LEVEL 0
168,STO. NIÑO - GUINSANG-AN - BHS,NULL,NULL,NULL,NULL,34892,1328,64,23,GOVERNMENT,NULL,NULL,1,LEVEL 0
169,STO. NIÑO - KATIPUNAN - BHS,NULL,NULL,NULL,NULL,34893,1328,64,24,GOVERNMENT,NULL,NULL,1,LEVEL 0
170,TAMPAKAN - MALTANA - BHS,NULL,NULL,NULL,NULL,34828,1324,64,20092,GOVERNMENT,NULL,NULL,1,LEVEL 0
171,STO. NIÑO - MANUEL ROXAS - BHS,NULL,NULL,NULL,NULL,34894,1328,64,25,GOVERNMENT,NULL,NULL,1,LEVEL 0
172,STO. NIÑO - PANAY - BHS,NULL,NULL,NULL,NULL,34895,1328,64,26,GOVERNMENT,NULL,NULL,1,LEVEL 0
173,TAMAPAKAN - RHU,NULL,NULL,NULL,NULL,34829,1324,64,3404,GOVERNMENT,NULL,NULL,1,LEVEL 0
174,STO. NIÑO - POBLACION - BHS,NULL,NULL,NULL,NULL,34896,1328,64,27,GOVERNMENT,NULL,NULL,1,LEVEL 0
175,"NORALA - BENIGNO AQUINO, JR. - BHS",NULL,NULL,NULL,NULL,34783,1321,64,19855,GOVERNMENT,NULL,NULL,1,LEVEL 0
176,STO. NIÑO - SAJANEBA - BHS,NULL,NULL,NULL,NULL,34900,1328,64,28,GOVERNMENT,NULL,NULL,1,LEVEL 0
177,TAMPAKAN - KIPALBIG - BHS,NULL,NULL,NULL,NULL,34825,1324,64,20096,GOVERNMENT,NULL,NULL,1,LEVEL 0
178,NORALA - DUMAGUIL - BHS,NULL,NULL,NULL,NULL,34770,1321,64,19857,GOVERNMENT,NULL,NULL,1,LEVEL 0
179,STO. NIÑO - SAN ISIDRO - BHS,NULL,NULL,NULL,NULL,34897,1328,64,29,GOVERNMENT,NULL,NULL,1,LEVEL 0
180,NORALA - ESPERANZA - BHS,NULL,NULL,NULL,NULL,34771,1321,64,19859,GOVERNMENT,NULL,NULL,1,LEVEL 0
181,NORALA - KIBID - BHS,NULL,NULL,NULL,NULL,34772,1321,64,19871,GOVERNMENT,NULL,NULL,1,LEVEL 0
182,TAMPAKAN - SANTA CRUZ- BHS,NULL,NULL,NULL,NULL,34837,1324,64,20101,GOVERNMENT,NULL,NULL,1,LEVEL 0
183,STO. NIÑO - SAN VICENTE - BHS,NULL,NULL,NULL,NULL,34898,1328,64,30,GOVERNMENT,NULL,NULL,1,LEVEL 0
184,NORALA - LAPUZ - BHS,NULL,NULL,NULL,NULL,34773,1321,64,19873,GOVERNMENT,NULL,NULL,1,LEVEL 0
185,STO. NIÑO - TERESITA - BHS,NULL,NULL,NULL,NULL,34899,1328,64,31,GOVERNMENT,NULL,NULL,1,LEVEL 0
186,NORALA - LIBERTY - BHS,NULL,NULL,NULL,NULL,34774,1321,64,19877,GOVERNMENT,NULL,NULL,1,LEVEL 0
187,TAMPAKAN - BUTO -BHS,NULL,NULL,NULL,NULL,34831,1324,64,20106,GOVERNMENT,NULL,NULL,1,LEVEL 0
188,NORALA - LOPEZ JAENA - BHS,NULL,NULL,NULL,NULL,34775,1321,64,19881,GOVERNMENT,NULL,NULL,1,LEVEL 0
